1	0.2	0.1	0.1	1000	500	0.3	500	0	0.197
2	0.2	0.1	0.2	1000	500	0.3	500	0	0.127
17	0.2	0.1	0.1	810	500	0.3	500	0	0.126
18	0.2	0.1	0.1	860	500	0.3	500	0	0.143
19	0.2	0.1	0.1	910	500	0.3	500	0	0.161
1	0.2	0.1	0.1	10	500	0.3	500	0	2.52
20	0.2	0.1	0.1	1000	500	0.3	500	0	0.197
21	0.2	0.1	0.2	10	500	0.3	500	0	8.43
40	0.2	0.1	0.2	1000	500	0.3	500	0	0.127
41	0.2	0.1	0.3	10	500	0.3	500	0	0.662
4	0.2	0.1	0.1	160	500	0.3	500	0	0.273
61	0.2	0.1	0.4	10	500	0.3	500	0	0.233
17	0.2	0.1	0.1	810	500	0.3	500	810	0.126
18	0.2	0.1	0.1	860	500	0.3	500	860	0.143
19	0.2	0.1	0.1	910	500	0.3	500	910	0.161
1	0.2	0.1	0.1	10	500	0.3	500	10	2.52
20	0.2	0.1	0.1	1000	500	0.3	500	1000	0.197
21	0.2	0.1	0.2	10	500	0.3	500	10	8.43
40	0.2	0.1	0.2	1000	500	0.3	500	1000	0.127
41	0.2	0.1	0.3	10	500	0.3	500	10	0.662
4	0.2	0.1	0.1	160	500	0.3	500	160	0.273
61	0.2	0.1	0.4	10	500	0.3	500	10	0.233
17	0.2	0.1	0.1	810	500	0.3	500	810	0.126
18	0.2	0.1	0.1	860	500	0.3	500	860	0.143
19	0.2	0.1	0.1	910	500	0.3	500	910	0.161
1	0.2	0.1	0.1	10	500	0.3	500	10	2.52
20	0.2	0.1	0.1	1000	500	0.3	500	1000	0.197
21	0.2	0.1	0.2	10	500	0.3	500	10	8.43
40	0.2	0.1	0.2	1000	500	0.3	500	1000	0.127
41	0.2	0.1	0.3	10	500	0.3	500	10	0.662
4	0.2	0.1	0.1	160	500	0.3	500	160	0.273
61	0.2	0.1	0.4	10	500	0.3	500	10	0.233
17	0.2	0.1	0.1	810	500	0.3	500	810	0.126
18	0.2	0.1	0.1	860	500	0.3	500	860	0.143
19	0.2	0.1	0.1	910	500	0.3	500	910	0.161
1	0.2	0.1	0.1	10	500	0.3	500	10	2.52
20	0.2	0.1	0.1	1000	500	0.3	500	1000	0.197
21	0.2	0.1	0.2	10	500	0.3	500	10	8.43
40	0.2	0.1	0.2	1000	500	0.3	500	1000	0.127
41	0.2	0.1	0.3	10	500	0.3	500	10	0.662
4	0.2	0.1	0.1	160	500	0.3	500	160	0.273
61	0.2	0.1	0.4	10	500	0.3	500	10	0.233
