100 0.2 0.1 0.5 1000 500 0.3 500 1000.000 4.90e-02 1.218E-09
101 0.2 0.1 0.6 10 500 0.3 500 10.000 7.30e-02 1.722E-05
102 0.2 0.1 0.6 60 500 0.3 500 60.000 4.40e-05 5.550E-07
103 0.2 0.1 0.6 110 500 0.3 500 110.000 5.53e-04 1.675E-07
104 0.2 0.1 0.6 160 500 0.3 500 160.000 2.28e-04 7.957E-08
105 0.2 0.1 0.6 210 500 0.3 500 210.000 9.50e-05 4.632E-08
106 0.2 0.1 0.6 260 500 0.3 500 260.000 1.78e-05 3.027E-08
107 0.2 0.1 0.6 310 500 0.3 500 310.000 5.82e-04 2.132E-08
108 0.2 0.1 0.6 360 500 0.3 500 360.000 2.11e-03 1.582E-08
109 0.2 0.1 0.6 410 500 0.3 500 410.000 5.29e-03 1.220E-08
10 0.2 0.1 0.1 460 500 0.3 500 460.000 3.59e-02 2.243E-10
110 0.2 0.1 0.6 460 500 0.3 500 460.000 1.03e-02 9.700E-09
111 0.2 0.1 0.6 510 500 0.3 500 510.000 1.64e-02 7.894E-09
112 0.2 0.1 0.6 560 500 0.3 500 560.000 2.43e-02 6.550E-09
113 0.2 0.1 0.6 610 500 0.3 500 610.000 2.83e-02 5.522E-09
114 0.2 0.1 0.6 660 500 0.3 500 660.000 2.98e-02 4.718E-09
115 0.2 0.1 0.6 710 500 0.3 500 710.000 3.07e-02 4.078E-09
116 0.2 0.1 0.6 760 500 0.3 500 760.000 3.17e-02 3.559E-09
117 0.2 0.1 0.6 810 500 0.3 500 810.000 3.30e-02 3.134E-09
118 0.2 0.1 0.6 860 500 0.3 500 860.000 3.46e-02 2.780E-09
119 0.2 0.1 0.6 910 500 0.3 500 910.000 3.65e-02 2.484E-09
11 0.2 0.1 0.1 510 500 0.3 500 510.000 4.50e-02 1.826E-10
120 0.2 0.1 0.6 1000 500 0.3 500 1000.000 4.05e-02 2.057E-09
121 0.2 0.1 0.7 10 500 0.3 500 10.000 4.94e-02 2.607E-05
122 0.2 0.1 0.7 60 500 0.3 500 60.000 4.19e-05 8.402E-07
123 0.2 0.1 0.7 110 500 0.3 500 110.000 3.81e-04 2.535E-07
124 0.2 0.1 0.7 160 500 0.3 500 160.000 1.44e-04 1.205E-07
125 0.2 0.1 0.7 210 500 0.3 500 210.000 6.78e-05 7.012E-08
126 0.2 0.1 0.7 260 500 0.3 500 260.000 1.34e-05 4.582E-08
127 0.2 0.1 0.7 310 500 0.3 500 310.000 4.49e-04 3.227E-08
128 0.2 0.1 0.7 360 500 0.3 500 360.000 1.55e-03 2.395E-08
129 0.2 0.1 0.7 410 500 0.3 500 410.000 4.09e-03 1.848E-08
12 0.2 0.1 0.1 560 500 0.3 500 560.000 5.47e-02 1.515E-10
130 0.2 0.1 0.7 460 500 0.3 500 460.000 8.46e-03 1.469E-08
131 0.2 0.1 0.7 510 500 0.3 500 510.000 1.24e-02 1.195E-08
132 0.2 0.1 0.7 560 500 0.3 500 560.000 2.18e-02 9.916E-09
133 0.2 0.1 0.7 610 500 0.3 500 610.000 2.91e-02 8.359E-09
134 0.2 0.1 0.7 660 500 0.3 500 660.000 3.12e-02 7.142E-09
135 0.2 0.1 0.7 710 500 0.3 500 710.000 3.12e-02 6.173E-09
136 0.2 0.1 0.7 760 500 0.3 500 760.000 3.10e-02 5.388E-09
137 0.2 0.1 0.7 810 500 0.3 500 810.000 3.12e-02 4.744E-09
138 0.2 0.1 0.7 860 500 0.3 500 860.000 3.17e-02 4.209E-09
139 0.2 0.1 0.7 910 500 0.3 500 910.000 3.27e-02 3.760E-09
13 0.2 0.1 0.1 610 500 0.3 500 610.000 6.64e-02 1.277E-10
140 0.2 0.1 0.7 1000 500 0.3 500 1000.000 3.51e-02 3.114E-09
141 0.2 0.1 0.8 10 500 0.3 500 10.000 3.57e-02 3.675E-05
142 0.2 0.1 0.8 60 500 0.3 500 60.000 3.97e-05 1.184E-06
143 0.2 0.1 0.8 110 500 0.3 500 110.000 2.79e-04 3.573E-07
144 0.2 0.1 0.8 160 500 0.3 500 160.000 9.60e-05 1.698E-07
145 0.2 0.1 0.8 210 500 0.3 500 210.000 5.05e-05 9.884E-08
146 0.2 0.1 0.8 260 500 0.3 500 260.000 1.05e-05 6.459E-08
147 0.2 0.1 0.8 310 500 0.3 500 310.000 3.54e-04 4.549E-08
148 0.2 0.1 0.8 360 500 0.3 500 360.000 1.12e-03 3.376E-08
149 0.2 0.1 0.8 410 500 0.3 500 410.000 3.09e-03 2.604E-08
14 0.2 0.1 0.1 660 500 0.3 500 660.000 7.95e-02 1.091E-10
150 0.2 0.1 0.8 460 500 0.3 500 460.000 6.76e-03 2.070E-08
151 0.2 0.1 0.8 510 500 0.3 500 510.000 8.39e-03 1.685E-08
152 0.2 0.1 0.8 560 500 0.3 500 560.000 1.67e-02 1.398E-08
153 0.2 0.1 0.8 610 500 0.3 500 610.000 2.81e-02 1.178E-08
