1100	8.71E-002	5.6	-4.8	 4.9	 4.1	 2.6	1.1004
1150	6.62E-002	5.6	-4.8	 5.1	 4.3	 2.7	1.1122
1200	5.07E-002	5.6	-4.8	 5.3	 4.5	 2.7	1.1242
1250	3.91E-002	5.7	-4.8	 5.5	 4.7	 2.7	1.1364
1300	3.04E-002	5.7	-4.8	 5.7	 4.9	 2.8	1.1475
1350	2.37E-002	5.7	-4.9	 5.9	 5.1	 2.8	1.1586
1400	1.87E-002	5.7	-4.9	 6.1	 5.3	 2.9	1.17
1450	1.48E-002	5.8	-4.9	 6.3	 5.6	 2.9	1.1816
1500	1.17E-002	5.9	-5	 6.5	 5.8	 3.0	1.1937
1550	9.38E-003	6.1	-5	 6.7	 6.0	 3.1	1.2069
1600	7.53E-003	6.3	-5	 6.9	 6.2	 3.1	1.2206
1650	6.07E-003	6.5	-5.1	 7.1	 6.4	 3.2	1.2347
1700	4.92E-003	6.8	-5.1	 7.4	 6.6	 3.2	1.2493
1750	4.00E-003	9.4	-1.7	 9.1	 7.5	 5.0	1.2644
1800	3.26E-003	9.1	-2.3	 9.0	 7.6	 4.7	1.2798
1850	2.67E-003	8.8	-2.9	 9.0	 7.7	 4.5	1.2955
1900	2.20E-003	8.6	-3.4	 9.0	 7.9	 4.3	1.3117
1950	1.81E-003	8.4	-3.8	 9.0	 8.0	 4.2	1.3283
2000	1.50E-003	8.3	-4.2	 9.1	 8.2	 4.0	1.3453
