10	4.61E+003	47.9	-37.3	 6.5	 5.9	 2.7	0
15	2.70E+003	33.6	-27.7	 5.1	 4.2	 2.8	0
20	1.26E+003	24.9	-21.2	 4.4	 3.2	 2.9	0
25	6.68E+002	20.3	-17.1	 4.1	 2.7	 3.0	0
30	4.01E+002	18.1	-14.8	 4.0	 2.5	 3.0	0
35	2.66E+002	15.9	-13.4	 3.8	 2.4	 3.0	0
40	1.91E+002	14.2	-12.6	 3.8	 2.2	 3.0	0
45	1.45E+002	13	-11.9	 3.7	 2.2	 3.0	0
50	1.15E+002	12	-11.3	 3.6	 2.1	 3.0	0
55	9.37E+001	11.2	-10.8	 3.6	 2.0	 2.9	0
60	7.83E+001	10.6	-10.4	 3.5	 2.0	 2.9	0
65	6.66E+001	10.1	-10.1	 3.5	 2.0	 2.8	0
70	5.75E+001	9.7	-9.8	 3.4	 2.0	 2.8	0
75	5.03E+001	9.3	-9.5	 3.4	 1.9	 2.8	0
80	4.43E+001	9	-9.3	 3.3	 1.9	 2.7	0
85	3.94E+001	8.7	-9.1	 3.3	 1.9	 2.7	0
90	3.53E+001	8.5	-8.9	 3.3	 1.9	 2.7	0
95	3.18E+001	8.3	-8.7	 3.3	 1.9	 2.7	0
100	2.87E+001	8.1	-8.6	 3.2	 1.9	 2.6	1.0418
105	2.61E+001	7.9	-8.4	 3.2	 1.8	 2.6	1.0436
110	2.38E+001	7.7	-8.3	 3.2	 1.8	 2.6	1.0455
115	2.18E+001	7.6	-8.2	 3.2	 1.8	 2.6	1.0474
120	2.01E+001	7.5	-8.1	 3.2	 1.8	 2.6	1.0494
125	1.85E+001	7.3	-8	 3.1	 1.8	 2.6	1.0514
130	1.71E+001	7.2	-7.9	 3.1	 1.8	 2.5	1.0534
135	1.59E+001	7.1	-7.8	 3.1	 1.8	 2.5	1.0553
140	1.48E+001	7	-7.7	 3.1	 1.8	 2.5	1.0571
145	1.38E+001	6.9	-7.6	 3.1	 1.8	 2.5	1.0587
150	1.28E+001	6.8	-7.5	 3.1	 1.8	 2.5	1.0598
160	1.13E+001	6.6	-7.4	 3.1	 1.8	 2.5	1.0486
170	9.96E+000	6.5	-7.3	 3.1	 1.8	 2.5	1.0206
180	8.87E+000	6.4	-7.1	 3.1	 1.8	 2.5	1.0053
190	7.95E+000	6.2	-7	 3.1	 1.8	 2.5	0.9872
200	7.16E+000	6.1	-6.9	 3.1	 1.9	 2.5	0.9793
210	6.49E+000	6	-6.8	 3.1	 1.9	 2.5	0.9761
220	5.92E+000	6	-6.7	 3.1	 1.9	 2.5	0.9749
230	5.43E+000	5.9	-6.6	 3.1	 1.9	 2.5	0.9749
