# LHCHXSWG YR4 BSM Higgs production cross sections at sqrt(s)=13.6 TeV
# Source: https://gitlab.cern.ch/LHCHIGGSXS/LHCHXSWG1/crosssections
# Repository commit: aad67de39778537fa36fa0692abf66fd43f660a4
# Workbook: YR4/Higgs_XSBR_YR4.xlsx
# Sheet: YR4 BSM 13.6 TeV
# Extracted ranges: ggF A6:E119; VBF J6:N119
# Scope: BSM mass grid, narrow-width approximation, no electroweak corrections
# 13.6 TeV values are interpolations of the 13 and 14 TeV recommendations
# Citation: CERN Yellow Report 4, arXiv:1610.07922
# Uncertainty columns reproduce the workbook components; scale_down_pct is negative
mass_gev	ggf_pb	ggf_scale_up_pct	ggf_scale_down_pct	ggf_pdfalphas_pct	vbf_pb	vbf_scale_up_pct	vbf_scale_down_pct	vbf_pdfalphas_pct
850	0.36486	5.438	-4.704	4.056	0.15702	0.2738	-0.4756	2.2818
900	0.26352	5.44	-4.718	4.24	0.13474	0.2776	-0.5216	2.3244
950	0.19258	5.466	-4.728	4.422	0.11606	0.2766	-0.5712	2.3684
1000	0.14214	5.5	-4.744	4.61	0.100388	0.2772	-0.615	2.4124
1050	0.105996	5.528	-4.764	4.802	0.087078	0.279	-0.6608	2.459
1100	0.079714	5.552	-4.778	4.996	0.07579	0.2832	-0.7054	2.506
1150	0.060474	5.58	-4.802	5.198	0.066154	0.2856	-0.7512	2.554
1200	0.04624	5.602	-4.826	5.402	0.057896	0.2948	-0.7976	2.602
1250	0.035614	5.634	-4.85	5.61	0.050794	0.3088	-0.8428	2.6506
1300	0.027618	5.648	-4.88	5.822	0.044664	0.3258	-0.8874	2.7008
1350	0.021556	5.67	-4.91	6.036	0.039352	0.3468	-0.935	2.752
1400	0.016926	5.712	-4.94	6.254	0.034744	0.3698	-0.981	2.8028
1450	0.013366	5.78	-4.974	6.476	0.030726	0.3918	-1.0252	2.8558
1500	0.0106092	5.872	-5.004	6.7	0.027218	0.4086	-1.0718	2.9092
