m_A0_GeV,B1B3_UL_red
0.20276497695852536,2.6979536400730017e-07
0.21276497695852536,2.7567698354532146e-07
0.22276497695852537,2.816777681053671e-07
0.23276497695852538,2.8993918442536414e-07
0.2427649769585254,2.92090371703225e-07
0.2527649769585254,2.92090371703225e-07
0.2627649769585254,2.9273323771465064e-07
0.2727649769585254,3.002979384458114e-07
0.2827649769585254,3.0597884248197183e-07
0.29276497695852544,3.1350184948990303e-07
0.30276497695852544,3.272661137578047e-07
0.31276497695852545,3.1226991350295665e-07
0.32276497695852546,3.4660795788105207e-07
0.33276497695852547,3.3049846523836163e-07
0.3427649769585255,3.5297434419222936e-07
0.3527649769585255,4.1337962953030985e-07
0.3627649769585255,4.2896836731853136e-07
0.3727649769585255,3.677199914775936e-07
0.3827649769585255,3.528441609550021e-07
0.3927649769585255,3.876394089062248e-07
0.40276497695852553,3.913299677092899e-07
0.41276497695852554,4.343255687392298e-07
0.42276497695852555,4.379044014143729e-07
0.43276497695852556,4.505549735103991e-07
0.44276497695852557,4.592709387993499e-07
0.4527649769585256,3.582864965890201e-07
0.4627649769585256,3.5134632248069806e-07
0.4727649769585256,3.604639875524637e-07
0.4827649769585256,3.7628987003986036e-07
0.4927649769585256,3.7497775205513167e-07
0.5027649769585256,3.458122288212053e-07
0.5127649769585256,3.562247890262444e-07
0.5227649769585256,3.5287080547713516e-07
0.5327649769585256,3.49936778185074e-07
0.5427649769585257,3.5874499170696736e-07
0.5527649769585257,3.5490422302371915e-07
0.5627649769585257,3.311529608992933e-07
0.5727649769585257,3.079025396325501e-07
0.5827649769585257,3.026276296501184e-07
0.5927649769585257,3.058294588054293e-07
0.6027649769585257,3.093996453609557e-07
0.6127649769585257,3.1274993746055863e-07
0.6227649769585257,3.628961866270237e-07
0.6327649769585257,3.724668286992866e-07
0.6427649769585257,4.906064137212424e-07
0.6527649769585258,5.703961318386111e-07
0.6627649769585258,6.112331451408502e-07
0.6727649769585258,5.970218631118213e-07
0.6827649769585258,5.235963937568322e-07
0.6927649769585258,5.367764759842146e-07
0.7027649769585258,6.327578583040026e-07
0.7127649769585258,7.7628956705626e-07
0.7227649769585258,8.15892477053103e-07
0.7327649769585258,4.681661067660402e-07
0.7427649769585258,4.0147650466477696e-07
