m_A0_GeV,B1B2_UL_red
3.838709677419355,5.271005763942227e-06
3.8487096774193548,5.243522060771715e-06
3.8587096774193546,5.3602610239799535e-06
3.8687096774193543,5.4683293993742245e-06
3.878709677419354,5.56352167621468e-06
3.888709677419354,5.687384618561226e-06
3.8987096774193537,5.814010018327642e-06
3.9087096774193535,5.943439770819754e-06
3.9187096774193533,6.0757356989045285e-06
3.928709677419353,6.210986333094286e-06
3.938709677419353,6.320025708709999e-06
3.9487096774193526,6.4906249549062014e-06
3.9587096774193524,6.7524143881385975e-06
3.968709677419352,7.018578442845136e-06
3.978709677419352,7.347227398618694e-06
3.988709677419352,7.612871945030454e-06
3.9987096774193516,7.847906351201891e-06
4.008709677419351,8.090116676468824e-06
4.018709677419351,8.35013861157754e-06
4.028709677419351,8.71552931598502e-06
4.038709677419351,8.98463419689141e-06
4.0487096774193505,9.261955902149814e-06
4.05870967741935,9.547927117272516e-06
4.06870967741935,9.8428628270666e-06
4.07870967741935,1.011727731291735e-05
4.08870967741935,1.0332437658941071e-05
4.098709677419349,1.0488419738748272e-05
4.108709677419349,1.0579171664579785e-05
4.118709677419349,1.0741273468557775e-05
4.128709677419349,1.0905831871958496e-05
4.138709677419349,1.106989631913902e-05
4.148709677419348,1.1227830765418685e-05
4.158709677419348,1.1337344351400993e-05
4.168709677419348,1.1511043591080893e-05
4.178709677419348,1.1678541553598468e-05
4.1887096774193475,1.1757096966507285e-05
4.198709677419347,1.1428814281626698e-05
4.208709677419347,1.0870730913274769e-05
4.218709677419347,1.0328474523962404e-05
4.228709677419347,9.851947769501872e-06
4.2387096774193465,9.352028111658327e-06
4.248709677419346,8.904354144351736e-06
4.258709677419346,8.478617130405684e-06
4.268709677419346,8.045269559733548e-06
4.278709677419346,7.676068597316001e-06
4.288709677419345,7.272713673449681e-06
4.298709677419345,6.921646045911461e-06
4.308709677419345,6.658021490873682e-06
4.318709677419345,6.410505762353247e-06
4.3287096774193445,6.261067949574942e-06
4.338709677419344,6.073536359741457e-06
4.348709677419344,5.9249924496081324e-06
4.358709677419344,5.793450710547233e-06
4.368709677419344,5.619998439809761e-06
4.3787096774193435,5.451685052728603e-06
4.388709677419343,5.324508923726166e-06
4.398709677419343,5.199960925046561e-06
4.408709677419343,5.044563082928198e-06
4.418709677419343,4.908638837635675e-06
4.428709677419342,4.801739714128886e-06
4.438709677419342,4.851992437455806e-06
4.448709677419342,4.934149599587367e-06
4.458709677419342,5.073182568340857e-06
4.4687096774193416,5.1726568306053236e-06
4.478709677419341,5.3015597911859124e-06
4.488709677419341,5.422557446098019e-06
4.498709677419341,5.514419379839254e-06
4.508709677419341,5.66358283386755e-06
4.5187096774193405,5.780895981176907e-06
4.52870967741934,5.838108867684438e-06
4.53870967741934,5.838108867684438e-06
4.54870967741934,5.878016072274912e-06
4.55870967741934,5.878016072274912e-06
4.568709677419339,5.878016072274912e-06
4.578709677419339,5.918196068108975e-06
4.588709677419339,5.934377928820874e-06
4.598709677419339,5.918196068108975e-06
4.608709677419339,5.838108867684438e-06
4.618709677419338,5.755351846919243e-06
4.628709677419338,5.681171109004659e-06
4.638709677419338,5.582984075352458e-06
4.648709677419338,5.528452089758757e-06
4.6587096774193375,5.452750423566147e-06
4.668709677419337,5.407198730498643e-06
4.678709677419337,5.398667015610586e-06
4.688709677419337,5.3190275076226134e-06
4.698709677419337,5.130513730576235e-06
4.708709677419336,4.963775899925692e-06
4.718709677419336,4.991428473027913e-06
4.728709677419336,4.991428473027913e-06
4.738709677419336,4.927921577797473e-06
4.748709677419336,4.897967031533126e-06
4.758709677419335,4.9575405157949735e-06
4.768709677419335,4.938153574560297e-06
4.778709677419335,5.027078728502813e-06
4.788709677419335,5.307036456446705e-06
4.7987096774193345,5.307036456446705e-06
4.808709677419334,5.343728637732847e-06
4.818709677419334,5.434155677716161e-06
4.828709677419334,5.4536390478361075e-06
4.838709677419334,5.543619955263643e-06
4.8487096774193335,5.637503444107505e-06
4.858709677419333,5.732919502552787e-06
4.868709677419333,5.8298925108552145e-06
4.878709677419333,5.84836002933838e-06
4.888709677419333,5.947422969412439e-06
4.898709677419332,6.023659593504585e-06
4.908709677419332,6.07441442096086e-06
4.918709677419332,6.084009491664341e-06
4.928709677419332,6.165109979712778e-06
4.9387096774193315,6.187024062105813e-06
4.948709677419331,6.2496829826791315e-06
4.958709677419331,6.2924035593363974e-06
4.968709677419331,6.344770387855139e-06
4.978709677419331,6.3982567615817325e-06
4.9887096774193305,6.422325422229357e-06
4.99870967741933,6.5065372383596e-06
5.00870967741933,6.510426907648501e-06
5.01870967741933,6.5717773180086495e-06
5.02870967741933,6.599736969591376e-06
5.038709677419329,6.644850388929372e-06
5.048709677419329,6.687001817831941e-06
5.058709677419329,6.631135909450885e-06
5.068709677419329,6.57572034579643e-06
5.0787096774193285,6.510426907648501e-06
5.088709677419328,6.466226120277609e-06
5.098709677419328,6.412209608334341e-06
5.108709677419328,6.3354161584330396e-06
5.118709677419328,6.2496829826791315e-06
5.1287096774193275,6.126267285767418e-06
5.138709677419327,5.986392171151817e-06
5.148709677419327,5.7918123646963125e-06
5.158709677419327,5.594953101814846e-06
5.168709677419327,5.390465696236669e-06
5.178709677419326,5.228985339714693e-06
5.188709677419326,5.107100892059061e-06
5.198709677419326,5.006714055205565e-06
5.208709677419326,4.96486031455751e-06
5.218709677419326,4.890453258743671e-06
5.228709677419325,4.874040765640372e-06
5.238709677419325,4.8242738510673415e-06
5.248709677419325,4.7683588598548095e-06
5.258709677419325,4.758990007415186e-06
5.2687096774193245,4.758990007415186e-06
5.278709677419324,4.7458075767962736e-06
5.288709677419324,4.726680128446714e-06
5.298709677419324,4.726680128446714e-06
5.308709677419324,4.726680128446714e-06
5.318709677419323,4.726680128446714e-06
5.328709677419323,4.726680128446714e-06
5.338709677419323,4.726680128446714e-06
5.348709677419323,4.726680128446714e-06
5.358709677419323,4.726680128446714e-06
5.368709677419322,4.742705828414842e-06
5.378709677419322,4.763579903729119e-06
5.388709677419322,4.677915126485535e-06
5.398709677419322,4.6178536496360576e-06
5.4087096774193215,4.726680128446714e-06
5.418709677419321,4.726680128446714e-06
5.428709677419321,4.726680128446714e-06
5.438709677419321,4.726680128446714e-06
5.448709677419321,4.726680128446714e-06
5.4587096774193204,4.726680128446714e-06
5.46870967741932,4.758990007415186e-06
5.47870967741932,4.8242738510673415e-06
5.48870967741932,4.866547521201571e-06
5.49870967741932,4.890453258743671e-06
5.508709677419319,4.923882631706742e-06
5.518709677419319,4.9567327265765896e-06
5.528709677419319,4.9575405157949735e-06
5.538709677419319,4.991428473027913e-06
5.5487096774193185,4.991428473027913e-06
5.558709677419318,4.991428473027913e-06
5.568709677419318,4.991428473027913e-06
5.578709677419318,4.991428473027913e-06
5.588709677419318,4.991428473027913e-06
5.5987096774193175,4.991428473027913e-06
5.608709677419317,4.991428473027913e-06
5.618709677419317,4.991428473027913e-06
5.628709677419317,4.991428473027913e-06
5.638709677419317,4.991428473027913e-06
5.648709677419316,4.9575405157949735e-06
5.658709677419316,4.9575405157949735e-06
5.668709677419316,4.9575405157949735e-06
5.678709677419316,4.923882631706742e-06
5.6887096774193155,4.923882631706742e-06
5.698709677419315,4.923882631706742e-06
5.708709677419315,4.890453258743671e-06
5.718709677419315,4.890453258743671e-06
5.728709677419315,4.857250845491116e-06
5.7387096774193145,4.8242738510673415e-06
5.748709677419314,4.8242738510673415e-06
5.758709677419314,4.8242738510673415e-06
5.768709677419314,4.8242738510673415e-06
5.778709677419314,4.857516464796829e-06
5.788709677419313,4.890453258743671e-06
5.798709677419313,4.906231922781932e-06
5.808709677419313,4.947577782104544e-06
5.818709677419313,4.989259643764686e-06
5.828709677419313,4.991428473027913e-06
5.838709677419312,5.005076314257437e-06
5.848709677419312,5.047259066156031e-06
5.858709677419312,5.08978464318409e-06
5.868709677419312,5.094488564390075e-06
5.8787096774193115,5.129312649043293e-06
5.888709677419311,5.129312649043293e-06
5.898709677419311,5.129312649043293e-06
5.908709677419311,5.129312649043293e-06
5.918709677419311,5.129312649043293e-06
5.92870967741931,5.129312649043293e-06
5.93870967741931,5.129312649043293e-06
