m_A0_GeV,B1B3_UL_blue
0.21013824884792626,3.1874859259722884e-07
0.22013824884792627,3.203843108029035e-07
0.23013824884792627,3.205589991549658e-07
0.24013824884792628,3.242070745412298e-07
0.2501382488479263,3.753041829340876e-07
0.2601382488479263,4.40631572038542e-07
0.2701382488479263,4.4895199159888673e-07
0.2801382488479263,4.5203536563602405e-07
0.2901382488479263,4.5203536563602405e-07
0.30013824884792634,3.5740081962230724e-07
0.31013824884792635,3.63549634722383e-07
0.32013824884792635,3.6748370693876704e-07
0.33013824884792636,3.7360595771877566e-07
0.34013824884792637,3.773809468862443e-07
0.3501382488479264,3.825742061796322e-07
0.3601382488479264,3.8980159151852256e-07
0.3701382488479264,3.9402167524010607e-07
0.3801382488479264,3.981071705534969e-07
0.3901382488479264,4.007357704011536e-07
0.4001382488479264,4.0695823772021586e-07
0.41013824884792643,4.085196108726499e-07
0.42013824884792644,4.142298383054175e-07
0.43013824884792645,4.197828261208008e-07
0.44013824884792646,4.208602715178153e-07
0.45013824884792647,4.245653818580227e-07
0.4601382488479265,4.275968357727375e-07
0.4701382488479265,4.3190733990080735e-07
0.4801382488479265,4.3444122987293683e-07
0.4901382488479265,4.3444122987293683e-07
0.5001382488479265,4.4139517981330934e-07
0.5101382488479265,4.4139517981330934e-07
0.5201382488479265,4.4506895125515296e-07
0.5301382488479265,4.484604392161547e-07
0.5401382488479265,4.484604392161547e-07
0.5501382488479265,4.4886261843839014e-07
0.5601382488479265,4.537244707004173e-07
0.5701382488479265,4.5563878977339606e-07
0.5801382488479265,5.420543030826139e-07
0.5901382488479265,5.806652230690678e-07
0.6001382488479265,6.12566572291126e-07
0.6101382488479266,6.443389766809895e-07
0.6201382488479266,5.892865727440549e-07
0.6301382488479266,5.654356605479173e-07
0.6401382488479266,4.6176506514760934e-07
0.6501382488479266,4.592709387993499e-07
0.6601382488479266,4.593853482648665e-07
0.6701382488479266,4.6293204169587777e-07
0.6801382488479266,4.6293204169587777e-07
0.6901382488479266,4.6293204169587777e-07
0.7001382488479266,4.6293204169587777e-07
0.7101382488479266,5.241786823956063e-07
0.7201382488479267,5.898323394778184e-07
0.7301382488479267,6.359464104535259e-07
0.7401382488479267,6.531824739637322e-07
0.7501382488479267,5.888153392680457e-07
0.7601382488479267,5.324687363658714e-07
0.7701382488479267,4.6484480129244535e-07
0.7801382488479267,4.618108289338159e-07
0.7901382488479267,4.592709387993499e-07
0.8001382488479267,4.592709387993499e-07
0.8101382488479267,4.592709387993499e-07
0.8201382488479267,4.592709387993499e-07
0.8301382488479268,4.592709387993499e-07
0.8401382488479268,4.6089555320968435e-07
0.8501382488479268,4.688600356750669e-07
0.8601382488479268,5.696200331758812e-07
0.8701382488479268,6.067164102522636e-07
0.8801382488479268,7.440774857890676e-07
0.8901382488479268,7.894597210273815e-07
0.9001382488479268,7.763578038215005e-07
0.9101382488479268,6.20744283841655e-07
0.9201382488479268,5.913649579079754e-07
0.9301382488479268,5.154577541927487e-07
0.9401382488479268,4.6662232927030744e-07
0.9501382488479269,4.880167827046478e-07
0.9601382488479269,5.734269062064237e-07
0.9701382488479269,6.117464098695849e-07
0.9801382488479269,6.640987626232935e-07
0.9901382488479269,6.148498753485303e-07
1.000138248847927,5.884315553249229e-07
1.010138248847927,5.043272783634641e-07
1.020138248847927,4.735524208669002e-07
1.030138248847927,4.7409139089632936e-07
1.040138248847927,4.7409139089632936e-07
1.050138248847927,4.7409139089632936e-07
1.060138248847927,4.7409139089632936e-07
1.070138248847927,4.7409139089632936e-07
1.080138248847927,5.640127002872418e-07
1.090138248847927,6.018813054822495e-07
1.100138248847927,6.359052357499822e-07
1.110138248847927,6.15199239412266e-07
1.120138248847927,5.898834131851143e-07
1.130138248847927,5.023654370641116e-07
1.140138248847927,4.735992878259804e-07
1.150138248847927,4.72169845574016e-07
1.160138248847927,4.7409139089632936e-07
1.170138248847927,4.7409139089632936e-07
1.180138248847927,5.098143953826271e-07
1.190138248847927,6.753977855456826e-07
1.200138248847927,7.13490841306796e-07
1.210138248847927,7.742980077428781e-07
1.220138248847927,7.066953065293751e-07
1.230138248847927,6.359675938439062e-07
1.2401382488479271,5.018029893878545e-07
1.2501382488479271,4.7409139089632936e-07
1.2601382488479271,4.7409139089632936e-07
1.2701382488479271,4.712325063923987e-07
1.2801382488479272,4.703420341698635e-07
1.2901382488479272,4.703420341698635e-07
1.3001382488479272,4.703420341698635e-07
1.3101382488479272,4.7104503855607626e-07
1.3201382488479272,4.7409139089632936e-07
