m_A0_GeV,B1B2_UL_blue
3.8342293906810037,3.7239678003819512e-06
3.8442293906810034,3.7435177775866553e-06
3.8542293906810032,3.698684925501921e-06
3.864229390681003,3.6562149484129877e-06
3.874229390681003,3.6238615548094165e-06
3.8842293906810026,3.5992583242810998e-06
3.8942293906810024,3.5748221307500024e-06
3.904229390681002,3.520570281217705e-06
3.914229390681002,3.4585082673148972e-06
3.9242293906810017,3.3602196809594442e-06
3.9342293906810015,3.302366918712137e-06
3.9442293906810013,3.2374545200528694e-06
3.954229390681001,3.150114722829127e-06
3.964229390681001,3.0557164903670928e-06
3.9742293906810007,2.9592963207828194e-06
3.9842293906810005,2.855944111705674e-06
3.9942293906810002,2.7893268409236654e-06
4.004229390681,2.72318694809651e-06
4.014229390681,2.7004330338805266e-06
4.024229390681,2.6670766853501823e-06
4.034229390680999,2.6489692876105295e-06
4.044229390680999,2.6332868363567825e-06
4.054229390680999,2.6309848251635525e-06
4.064229390680999,2.6309848251635525e-06
4.0742293906809985,2.6309848251635525e-06
4.084229390680998,2.6309848251635525e-06
4.094229390680998,2.6309848251635525e-06
4.104229390680998,2.6309848251635525e-06
4.114229390680998,2.6309848251635525e-06
4.1242293906809975,2.6309848251635525e-06
4.134229390680997,2.6309848251635525e-06
4.144229390680997,2.6309848251635525e-06
4.154229390680997,2.6309848251635525e-06
4.164229390680997,2.6309848251635525e-06
4.174229390680996,2.6309848251635525e-06
4.184229390680996,2.6309848251635525e-06
4.194229390680996,2.6309848251635525e-06
4.204229390680996,2.6309848251635525e-06
4.214229390680996,2.6309848251635525e-06
4.224229390680995,2.6309848251635525e-06
4.234229390680995,2.6309848251635525e-06
4.244229390680995,2.6309848251635525e-06
4.254229390680995,2.6309848251635525e-06
4.2642293906809945,2.6309848251635525e-06
4.274229390680994,2.6309848251635525e-06
4.284229390680994,2.6309848251635525e-06
4.294229390680994,2.6309848251635525e-06
4.304229390680994,2.6309848251635525e-06
4.314229390680993,2.6334307120563024e-06
4.324229390680993,2.655632809978681e-06
4.334229390680993,2.696321335779611e-06
4.344229390680993,2.7190400693600277e-06
4.354229390680993,2.7606945402410963e-06
4.364229390680992,2.803001974618861e-06
4.374229390680992,2.835715923362942e-06
4.384229390680992,2.8746162855604517e-06
4.394229390680992,2.914050283079691e-06
4.4042293906809915,2.9631024622113282e-06
4.414229390680991,3.013280694581926e-06
4.424229390680991,3.070752152128769e-06
4.434229390680991,3.117790246797112e-06
4.444229390680991,3.140808228985388e-06
4.45422939068099,3.162277660168379e-06
4.46422939068099,3.1889998247994344e-06
4.47422939068099,3.2056577975566685e-06
4.48422939068099,3.253199302129121e-06
4.49422939068099,3.330925202615826e-06
4.504229390680989,3.4104738908458333e-06
4.514229390680989,3.5157567851080934e-06
